"Title","PMID"
"The relationship between perceptions of school climate and internet gaming disorder of teenage students: A moderated mediation model.","36003106"
"The prevalence of problematic internet use among a sample of Egyptian adolescents and its psychiatric comorbidities.","33356734"
"Internet Gaming Disorder in Adolescents: Personality, Psychopathology and Evaluation of a Psychological Intervention Combined With Parent Psychoeducation.","29892241"
"Cue-induced Behavioral and Neural Changes among Excessive Internet Gamers and Possible Application of Cue Exposure Therapy to Internet Gaming Disorder.","27242589"
"Excessive Smartphone Use and Self-Esteem Among Adults With Internet Gaming Disorder: Quantitative Survey Study.","32990637"
"Risk factors and outcomes of internet gaming disorder identified in Korean prospective adolescent cohort study.","36194504"
"Differences in functional connectivity between alcohol dependence and internet gaming disorder.","25282597"
"Accordance of Adolescent and Parental Ratings of Internet Gaming Disorder and Their Associations with Psychosocial Aspects.","30801222"
"Brain connectivity and psychiatric comorbidity in adolescents with Internet gaming disorder.","26689148"
"The Treatment of Internet Gaming Disorder: a Brief Overview of the PIPATIC Program.","30147635"
"Association of Internet gaming disorder with catechol-O-methyltransferase: Role of impulsivity and fun-seeking.","34558801"
"Self-control impacts symptoms defining Internet gaming disorder through dorsal anterior cingulate-ventral striatal pathway.","36001435"
"Utility of DSM-5 Criteria for Internet Gaming Disorder.","33086986"
"Longitudinal modifiable risk and protective factors of internet gaming disorder: A systematic review and meta-analysis.","37224007"
"A preliminary cross-cultural study of Hikikomori and Internet Gaming Disorder: The moderating effects of game-playing time and living with parents.","31193743"
"Functional and structural neural alterations in Internet gaming disorder: A systematic review and meta-analysis.","29102686"
"Making the case for hypothesis-driven theory testing in the study of Internet Gaming Disorder.","26455330"
"Alterations in the connection topology of brain structural networks in Internet gaming addiction.","30310094"
"Video game characteristics, happiness and flow as predictors of addiction among video game players: A pilot study.","25215196"
"Gamification for Internet Gaming Disorder Prevention: Evaluation of a Wise IT-Use (WIT) Program for Hong Kong Primary Students.","31736842"
"Symptoms of internet gaming disorder among male college students in Nanchong, China.","35193532"
"Metacognition, Desire Thinking and Craving in Problematic Video Game Use.","36034539"
"Hypometabolism and altered metabolic connectivity in patients with internet gaming disorder and alcohol use disorder.","31255649"
"Internet gaming disorder in an adolescent during the COVID-19 pandemic: a case report.","35721634"
"Psychometric Properties of the Nine-Item Korean Internet Gaming Disorder Scale: Short Form.","32960098"
"Disordered gaming, loneliness, and family harmony in gamers before and during the COVID-19 pandemic.","35434242"
"Mindfulness-Based Interventions: Potentials for Management of Internet Gaming Disorder.","35017867"
"Psychometric validation of the Internet Gaming Disorder-20 Test among Chinese middle school and university students.","31120320"
"Validation of the Arabic Version of the Internet Gaming Disorder-20 Test.","28394210"
"Spanish Validation of the Internet Gaming Disorder Scale-Short Form (IGDS9-SF): Prevalence and Relationship with Online Gambling and Quality of Life.","32121280"
"Resting-State fMRI Study of ADHD and Internet Gaming Disorder.","31640464"
"Diffusion-weighted MRI measures suggest increased white-matter integrity in Internet gaming disorder: Evidence from the comparison with recreational Internet game users.","29421348"
"Psychometric properties of the Chinese Internet Gaming Disorder Scale.","28558336"
"Response Inhibition and Internet Gaming Disorder: A Meta-analysis.","28264786"
"Prevalence of Internet Gaming Disorder Among Intermediate and High School Students in Albaha, Saudi Arabia: A Cross-Sectional Study.","37153233"
"Need Frustration, Gaming Motives, and Internet Gaming Disorder in Mobile Multiplayer Online Battle Arena (MOBA) Games: Through the Lens of Self-Determination Theory.","35497075"
"Internet gaming disorder, exercise and attention deficit hyperactivity disorder: The role of symptoms of depression, anxiety and stress.","36436217"
"Cue-elicited craving-related lentiform activation during gaming deprivation is associated with the emergence of Internet gaming disorder.","30614176"
"Prevalence and associated factors of internet gaming disorder among secondary school students in rural community, Thailand: a cross-sectional study.","31907063"
"Reduced frontostriatal functional connectivity and associations with severity of Internet gaming disorder.","33236526"
"A Cross-Lagged Study of Developmental Trajectories of Video Game Engagement, Addiction, and Mental Health.","30519203"
"Is monetary reward processing altered in drug-naïve youth with a behavioral addiction? Findings from internet gaming disorder.","32045732"
"Disturbed craving regulation to gaming cues in internet gaming disorder: Implications for uncontrolled gaming behaviors.","34119910"
"Stigma and gaming disorder: should we take a 'glass half full' or 'glass half empty' perspective?","35129241"
"Investigating the differential effects of social networking site addiction and Internet gaming disorder on psychological health.","29130329"
"Symptoms of internet gaming disorder and depression in Chinese adolescents: A network analysis.","36822036"
"Delay Discounting of Video Game Players: Comparison of Time Duration Among Gamers.","28118044"
"The Digital Addiction Scale for Children: Development and Validation.","31755742"
"[French validation of a scale evaluating Internet Gaming Disorder: the Internet Gaming Disorder-20].","33563027"
"Psychometric Validation of the Internet Gaming Disorder-20 Test among Ecuadorian Teenagers and Young People.","35564503"
"A latent profile approach for the study of internet gaming disorder, social media addiction, and psychopathology in a normative sample of adolescents.","31496849"
"Brain functional connectivity during and after imagery of gaming and alternative leisure activities in patients with internet gaming disorder.","35041909"
"Autistic Traits and Attention-Deficit Hyperactivity Disorder Symptoms Predict the Severity of Internet Gaming Disorder in an Italian Adult Population.","34207989"
"Inclusion of Gaming Disorder in ICD has more advantages than disadvantages.","28816495"
"Gamers' insights into the phenomenology of normal gaming and game ""addiction"": A mixed methods study.","29456287"
"Validity, functional impairment and complications related to Internet gaming disorder in the DSM-5 and gaming disorder in the ICD-11.","31631668"
"Lipidomic profiles disturbed by the internet gaming disorder in young Korean males.","30951964"
"Psychometric validation of the Turkish nine-item Internet Gaming Disorder Scale-Short Form (IGDS9-SF).","29793049"
"A selective involvement of putamen functional connectivity in youth with internet gaming disorder.","25553620"
"Internet Gaming Disorder Explains Unique Variance in Psychological Distress and Disability After Controlling for Comorbid Depression, OCD, ADHD, and Anxiety.","28085490"
"A Case of Internet Gaming Disorder: When #Play Apart Together Takes a Dark Turn.","35711876"
"PET imaging reveals brain functional changes in internet gaming disorder.","24737115"
"The immediate and long-term effects of time perspective on Internet gaming disorder.","29313730"
"Prevalence of internet gaming disorder in adolescents: A meta-analysis across three decades.","30004118"
"How sleep disturbances affect internet gaming disorder: The mediating effect of hippocampal functional connectivity.","34952121"
"Diminished Frontal Theta Activity During Gaming in Young Adults With Internet Gaming Disorder.","31736703"
"Relationships between parental attitudes, family functioning and Internet gaming disorder in adolescents attending school.","28535475"
"Sex difference in neural responses to gaming cues in Internet gaming disorder: Implications for why males are more vulnerable to cue-induced cravings than females.","34090939"
"Altered dynamic interactions within frontostriatal circuits reflect disturbed craving processing in internet gaming disorder.","32951628"
"DSM-5 diagnosis of Internet Gaming Disorder: Some ways forward in overcoming issues and concerns in the gaming studies field.","28662619"
"Moving internet gaming disorder forward: A reply.","25103100"
"Prevalence and correlates of comorbid depression in a nonclinical online sample with DSM-5 internet gaming disorder.","28938229"
"The Spanish Version of the Internet Gaming Disorder Scale-Short Form (IGDS9-SF): Further Examination Using Item Response Theory.","32998358"
"A descriptive pilot survey of behavioural addictions in an adolescent secondary school population in Ireland.","34057059"
"A preliminary study of disrupted functional network in individuals with Internet gaming disorder: Evidence from the comparison with recreational game users.","31801105"
"Lack of educational impact of video game addiction in children and adolescents diagnosed with ADHD: A cross-sectional study.","37151982"
"Internet Gaming Disorder in Adolescents With Psychiatric Disorder: Two Case Reports Using a Developmental Framework.","31133904"
"The association between Emotional Regulation and Internet Gaming Disorder.","32450453"
"Deep neural network to differentiate internet gaming disorder from healthy controls during stop-signal task: a multichannel near-infrared spectroscopy study.","37099486"
"Compromised Prefrontal Cognitive Control Over Emotional Interference in Adolescents with Internet Gaming Disorder.","26430731"
"Orbitofrontal gray matter deficits as marker of Internet gaming disorder: converging evidence from a cross-sectional and prospective longitudinal design.","29057579"
"Developmental Assets, Self-Control and Internet Gaming Disorder in Adolescence: Testing a Moderated Mediation Model in a Longitudinal Study.","35186844"
"The Influence of Parenting Style and Time Management Tendency on Internet Gaming Disorder among Adolescents.","33291336"
"Relationship Between Loneliness and Depression Among Chinese Junior High School Students: The Serial Mediating Roles of Internet Gaming Disorder, Social Network Use, and Generalized Pathological Internet Use.","33643105"
"How Game Addiction Rates and Related Psychosocial Risk Factors Change Within 2-Years: A Follow-Up Study.","30301305"
"Psychometric assessment of the Internet Gaming Disorder diagnostic criteria: An Item Response Theory study.","30505924"
"Internet Gaming Disorder Among Slovenian Primary Schoolchildren: Findings From a Nationally Representative Sample of Adolescents.","27363464"
"Exploring subtypes and correlates of internet gaming disorder severity among adolescents during COVID-19 in China: A latent class analysis.","35505828"
"Not good enough? Further comments to the wording, meaning, and the conceptualization of Internet Gaming Disorder.","28301964"
"Psychometric validity and the appropriateness of tolerance as a criterion for internet gaming disorder: A systematic review.","36878146"
"The frustration intolerance of internet gaming disorder and its association with severity and depression.","34002479"
"Re-thinking internet gaming: from recreation to addiction.","25103096"
"Psychosocial factors mediating the relationship between childhood emotional trauma and internet gaming disorder: a pilot study.","30693081"
"Associations between comorbid stress and Internet Gaming Disorder symptoms: Are there cultural and gender variations?","32286004"
"A Typical Case Report: Internet Gaming Disorder Psychotherapy Treatment in Private Practice.","33669916"
"Reciprocal modulation between cigarette smoking and internet gaming disorder on participation coefficient within functional brain networks.","36018530"
"Coping, Resilience, and Perceived Stress in Individuals with Internet Gaming Disorder in Taiwan.","33670343"
"Proteus Effect Profiles: how Do they Relate with Disordered Gaming Behaviours?","32140972"
"Gaming to cope: Applying network analysis to understand the relationship between posttraumatic stress symptoms and internet gaming disorder symptoms among disaster-exposed Chinese young adults.","34469784"
"Social Information Processing and Executive Functions in Male Children and Adolescents with Internet Gaming Disorder.","36441375"
"Corrigendum: Differential effects of anxiety on internet gaming disorder: A large-scale cross-sectional survey.","35923446"
"Defining tolerance in Internet Gaming disorder: Isn't it time?","27297731"
"Effectiveness of a mobile app-based educational intervention to treat internet gaming disorder among Iranian adolescents: study protocol for a randomized controlled trial.","35313935"
"Prevalence of Internet gaming disorder in German adolescents: diagnostic contribution of the nine DSM-5 criteria in a state-wide representative sample.","25598040"
"Internet gaming disorder: more questions on a new diagnosis.","29676047"
"Potential Biological Markers and Treatment Implications for Binge Eating Disorder and Behavioral Addictions.","36839185"
"Internet Gaming Disorder Clustering Based on Personality Traits in Adolescents, and Its Relation with Comorbid Psychological Symptoms.","32111070"
"Internet gaming disorder and aggression: A meta-analysis of teenagers and young adults.","37089492"
"Psychometric Properties of the Malay Version of the Internet Gaming Disorder Scale-Short Form (IGDS9-SF-M): Evidence from a Sample of Malaysian Undergraduates.","33807598"
"Demographic characteristics, family environment and psychosocial factors affecting internet addiction in Chinese adolescents.","35901990"
"Examination of the Psychometric Characteristics of the Italian Version of the Game Addiction Scale for Adolescents.","30940015"
"Impaired disengagement of attention from computer-related stimuli in Internet Gaming Disorder: Behavioral and electrophysiological evidence.","33427693"
"Sluggish cognitive tempo (Cognitive Disengagement Syndrome) symptoms are more associated with a higher risk of internet addiction and internet gaming disorder than ADHD symptoms: A study with medical students and resident doctors.","37327573"
"Measurement Invariance of the Internet Gaming Disorder Scale-Short-Form (IGDS9-SF) between the United States of America, India and the United Kingdom.","28837939"
"From Pong to Pokemon Go, catching the essence of the Internet Gaming Disorder diagnosis.","28301965"
"Depression and Internet Gaming Disorder among Chinese Adolescents: A Longitudinal Moderated Mediation Model.","36834332"
"Internet Gaming Disorder among Adolescents.","28439799"
"On the Prevalence of Addicted or Problematic Gaming in Finland.","31828204"
"Disrupted dynamic network reconfiguration of the executive and reward networks in internet gaming disorder.","36004801"
"Application of the eleventh revision of the International Classification of Diseases gaming disorder criteria to treatment-seeking patients: Comparison with the fifth edition of the Diagnostic and Statistical Manual of Mental Disorders Internet gaming disorder criteria.","33475527"
"Relationship between Medical Students' Perceived Stress and Gaming Behavior at King Saud University.","36506915"
"Impulsivity and compulsivity in Internet gaming disorder: A comparison with obsessive-compulsive disorder and alcohol use disorder.","29052999"
"Evaluation of the diagnostic criteria of Internet gaming disorder in the DSM-5 among young adults in Taiwan.","24581573"
"Associations Among Resilience, Stress, Depression, and Internet Gaming Disorder in Young Adults.","31480445"
